Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth
1	000375	11:11:47,223.769.930	75	2.063	28.797	1.232	2.290	12.983	12.561	4.694
1	000381	11:11:47,310.169.750	123	-0.790	16.480	0.676	2.396	21.996	12.932	3.923
1	000400	11:11:47,448.552.010	187	1.244	9.949	1.753	2.686	11.871	6.232	4.800
1	000405	11:11:47,505.546.140	91	6.583	-85.927	0.846	2.639	17.186	12.904	5.388
1	000415	11:11:47,603.830.050	371	0.455	-4.850	1.115	5.027	28.620	4.413	3.498
1	000430	11:11:47,722.016.770	786	-0.228	28.759	2.452	5.878	29.700	28.038	51.108
1	000433	11:11:47,759.422.300	381	3.048	-7.871	1.497	9.033	11.814	2.454	7.554
1	000454	11:11:47,964.394.080	279	-0.983	-16.235	1.569	5.946	13.991	11.580	28.710
1	000463	11:11:48,040.868.900	539	-0.705	-38.429	2.220	3.684	32.139	31.405	15.966
1	000467	11:11:48,117.366.440	56	2.314	-58.582	0.923	1.926	23.316	23.239	5.063
1	000470	11:11:48,167.407.770	49	-2.221	61.951	1.194	1.437	27.176	25.435	3.049
1	000471	11:11:48,172.536.190	113	0.242	31.151	1.224	2.553	30.342	30.280	6.745
1	000472	11:11:48,197.185.760	235	-4.396	-131.105	1.128	4.694	31.525	29.084	20.218
1	000482	11:11:48,291.290.610	55	-2.111	27.813	0.921	5.002	25.488	11.905	7.240
1	000483	11:11:48,291.678.340	18278	2.414	-82.960	2.061	3.460	34.712	31.753	32.252
1	000489	11:11:48,336.206.690	574	0.941	-49.411	0.951	5.528	35.986	35.979	26.007
1	000495	11:11:48,426.801.660	198	-0.575	-20.605	1.361	2.885	18.081	17.861	9.046
1	000497	11:11:48,440.526.890	212	0.466	13.509	1.262	4.060	13.904	12.245	18.707
1	000499	11:11:48,463.138.060	377	-1.376	22.294	1.890	3.387	13.619	13.104	15.906
1	000506	11:11:48,538.592.900	526	-1.171	9.390	2.477	3.706	31.040	6.098	12.109
1	000510	11:11:48,610.204.580	93	2.421	-48.399	0.943	2.978	20.271	18.477	11.622
1	000514	11:11:48,629.766.230	46	1.241	3.580	1.195	1.528	23.663	2.246	1.157
1	000518	11:11:48,692.257.540	305	-0.153	-19.237	1.199	1.491	25.630	19.015	4.348
1	000520	11:11:48,698.223.150	75	-0.136	15.260	1.261	1.405	27.849	15.121	1.780
1	000529	11:11:48,797.594.480	5585	0.430	-22.035	2.738	16.361	20.243	20.241	311.323
1	000530	11:11:48,825.466.840	56	0.672	4.109	0.941	1.892	20.482	3.411	1.245
1	000533	11:11:48,898.474.890	81	-0.728	-7.134	1.200	1.979	10.800	5.768	2.509
1	000537	11:11:48,965.170.380	2695	-1.595	-40.832	2.283	13.764	22.003	21.688	264.032
1	000539	11:11:48,991.510.190	2221	0.686	-39.476	1.920	3.100	33.324	32.560	14.840
1	000540	11:11:48,999.224.510	414	-7.248	127.904	2.021	2.981	31.195	17.482	9.269
1	000553	11:11:49,086.756.920	200	-15.630	-73.678	1.284	4.085	4.945	4.704	21.596
1	000559	11:11:49,154.525.910	75	1.633	-52.617	1.024	2.183	27.519	27.481	7.136
1	000563	11:11:49,193.860.900	84	0.021	13.862	1.597	2.641	20.141	13.858	5.853
1	000566	11:11:49,240.678.380	443	0.966	18.191	1.292	4.845	13.123	13.086	35.986
1	000570	11:11:49,253.501.930	143	-0.551	4.879	1.374	3.192	7.539	4.274	5.747
1	000579	11:11:49,322.829.590	58	1.340	45.069	1.158	1.631	30.021	26.955	2.963
1	000581	11:11:49,352.490.660	388	-1.769	-17.034	1.621	6.084	8.936	8.383	36.788
1	000589	11:11:49,438.470.530	537	6.891	42.222	1.928	5.173	28.795	6.063	7.267
1	000590	11:11:49,440.911.570	107	0.391	-2.550	0.640	3.027	20.181	2.375	1.229
1	000591	11:11:49,446.173.440	180	-0.079	-6.622	1.330	2.667	10.736	6.601	5.142
1	000596	11:11:49,564.362.550	104	3.931	61.672	1.799	5.100	29.361	15.205	10.657
1	000599	11:11:49,590.091.870	432	0.988	-49.904	1.561	2.814	35.608	35.491	8.907
1	000613	11:11:49,740.318.040	435	-0.041	27.765	1.924	3.240	31.891	27.742	11.698
1	000632	11:11:50,051.055.060	162	-3.259	-20.242	1.275	5.391	9.397	5.938	12.541
1	000635	11:11:50,057.376.980	2974	-4.150	75.623	1.582	7.729	31.104	17.717	46.590
1	000638	11:11:50,093.106.070	212	-0.530	21.125	1.930	2.848	19.907	18.668	8.840
1	000639	11:11:50,095.399.440	440	-0.661	-17.698	1.374	12.890	28.929	14.763	48.663
1	000641	11:11:50,111.086.460	116	0.437	23.933	1.227	2.441	26.033	21.931	6.738
1	000642	11:11:50,121.858.130	176	-2.103	19.470	1.152	4.968	19.958	8.360	5.682
1	000662	11:11:50,375.858.140	138	-3.663	111.608	1.415	3.442	29.410	29.390	11.833
1	000664	11:11:50,465.980.750	407	0.639	-42.943	1.050	4.478	36.294	36.178	17.554
1	000676	11:11:50,670.832.500	227	-1.026	3.203	1.332	4.480	23.785	2.235	3.072
1	000688	11:11:50,766.200.840	127	0.094	-12.688	2.209	2.801	14.691	12.633	7.990
1	000690	11:11:50,794.644.170	49	8.549	100.049	1.277	1.913	16.500	11.623	3.007
1	000693	11:11:50,881.656.820	277	0.863	26.789	1.257	5.043	27.691	20.280	17.334
1	000696	11:11:50,909.297.820	120	-6.173	-91.437	1.628	2.526	26.300	14.621	5.234
1	000698	11:11:50,936.474.630	125	-0.916	-10.294	1.237	2.148	18.121	7.591	2.866
1	000701	11:11:50,961.153.350	70	1.194	3.397	1.230	1.449	23.450	2.181	1.167
1	000708	11:11:51,057.508.050	212	0.399	-27.637	1.722	3.515	33.178	25.669	11.815
1	000733	11:11:51,365.588.890	74	0.700	-27.503	1.043	2.320	22.775	22.534	5.009
1	000740	11:11:51,467.975.510	122	-0.269	27.497	1.346	5.413	33.303	26.556	19.535
1	000751	11:11:51,569.051.770	121	-1.782	4.285	1.729	2.218	24.189	2.097	3.940
1	000752	11:11:51,571.299.110	340	41.476	1009.187	1.667	6.209	24.973	24.325	55.552
1	000754	11:11:51,627.398.420	108	37.101	395.457	1.247	2.721	16.007	10.655	4.164
1	000756	11:11:51,650.131.220	206	-0.227	19.476	1.614	3.146	24.196	18.993	9.160
1	000761	11:11:51,730.280.430	54	-0.217	6.898	1.078	1.667	13.756	6.740	1.514
1	000768	11:11:51,803.055.400	151	-1.282	17.971	1.477	1.988	20.564	11.055	3.253
1	000773	11:11:51,853.926.990	51	-0.078	-10.860	1.054	1.732	14.256	10.827	2.306
1	000774	11:11:51,865.582.470	389	0.941	-37.130	2.034	3.501	33.048	27.038	15.283
1	000778	11:11:51,949.878.350	81	0.379	-3.968	1.075	3.556	29.805	3.711	1.482
1	000784	11:11:52,010.547.950	101	0.588	4.700	1.498	2.034	26.098	4.051	3.323
1	000789	11:11:52,031.201.410	709	0.028	-29.949	1.633	8.184	33.833	29.937	95.597
1	000790	11:11:52,046.305.490	1867	-5.237	-6.183	2.849	5.039	12.294	1.160	16.734
1	000798	11:11:52,197.076.800	79	0.163	16.191	1.437	1.728	16.059	15.981	3.236
1	000808	11:11:52,300.975.990	809	-4.337	110.114	2.088	6.232	28.102	24.741	48.995
1	000810	11:11:52,336.658.350	299	1.233	-51.674	0.943	5.007	33.091	32.550	26.950
1	000815	11:11:52,404.401.980	69	-1.403	6.040	1.216	1.653	8.837	3.506	1.655
1	000818	11:11:52,414.290.160	42	0.564	-22.034	0.944	2.031	22.015	19.193	3.876
1	000825	11:11:52,490.954.270	57	0.388	-2.309	1.373	1.974	15.702	2.153	2.736
1	000830	11:11:52,503.085.960	74	-6.251	-183.551	1.059	2.161	29.222	28.996	4.869
1	000835	11:11:52,568.992.440	189	0.143	26.468	1.956	4.251	29.834	26.202	16.209
1	000840	11:11:52,609.957.320	1287	0.207	-18.109	2.395	4.792	24.305	17.733	26.004
1	000849	11:11:52,671.880.890	135	0.116	25.745	1.337	4.378	32.110	25.572	13.018
1	000854	11:11:52,723.400.320	197	0.421	6.725	1.280	3.163	15.213	6.198	3.937
1	000857	11:11:52,782.274.920	407	-0.234	16.160	2.737	3.122	26.669	15.736	11.729
1	000858	11:11:52,795.075.180	365	-8.558	25.378	1.459	6.663	20.508	2.946	4.374
1	000866	11:11:52,872.377.700	416	-0.378	-7.562	2.944	4.268	7.332	7.073	24.651
1	000876	11:11:53,096.043.820	197	-0.389	-12.369	1.482	2.900	17.218	11.527	6.802
1	000882	11:11:53,135.081.680	54	0.258	-9.419	1.442	1.808	14.094	9.121	3.504
1	000886	11:11:53,150.207.380	252	-0.689	-14.512	1.408	5.389	12.260	11.950	32.828
1	000891	11:11:53,231.342.580	1906	-0.062	-25.586	2.207	3.990	32.469	25.536	33.690
1	000892	11:11:53,231.838.280	61	-0.041	-11.957	1.019	2.157	14.639	11.947	4.542
1	000895	11:11:53,263.940.150	572	1.233	-31.800	1.470	9.192	20.048	20.027	90.700
1	000896	11:11:53,271.212.160	395	-2.732	-29.359	2.031	3.500	16.509	10.091	9.935
1	000898	11:11:53,301.245.180	240	0.408	11.632	1.313	4.588	14.968	10.770	16.358
1	000901	11:11:53,359.921.300	604	-0.984	21.130	1.692	8.176	17.244	15.058	60.710
1	000918	11:11:53,535.675.830	173	-1.547	-22.386	1.209	2.514	18.031	12.150	5.566
1	000927	11:11:53,629.442.920	340	-2.521	58.404	1.884	3.611	23.849	21.537	16.724
1	000929	11:11:53,644.091.600	142	0.048	13.246	1.309	2.834	27.715	13.230	3.777
1	000931	11:11:53,682.064.320	85	4.435	-22.461	1.117	2.671	6.596	4.941	5.775
1	000937	11:11:53,765.604.630	125	1.769	-16.659	0.959	1.585	23.299	8.200	1.641
1	000939	11:11:53,806.878.350	459	-0.387	17.670	2.795	4.799	32.486	16.481	18.404
1	000940	11:11:53,807.372.210	598	-1.059	17.189	1.856	2.792	19.559	11.800	11.087
1	000943	11:11:53,829.489.970	242	2.840	53.272	2.189	2.956	27.190	17.691	9.100
1	000952	11:11:53,913.536.770	884	-0.493	-15.917	2.112	7.570	23.190	14.276	33.730
1	000961	11:11:54,018.240.970	88	0.625	0.169	1.277	1.695	6.126	0.143	1.721
1	000964	11:11:54,078.551.810	107	0.175	-13.231	0.981	3.251	16.200	13.032	8.224
1	000990	11:11:54,337.573.680	205	2.734	67.161	1.900	3.564	26.527	23.074	12.645
1	000993	11:11:54,357.532.880	2170	0.616	-36.458	1.705	2.981	32.580	31.040	18.590
1	001004	11:11:54,485.538.330	320	-1.269	28.575	2.274	4.381	28.803	17.683	12.406
1	001007	11:11:54,549.983.890	205	-0.423	-20.223	1.362	2.908	24.032	18.623	9.239
1	001009	11:11:54,556.669.740	384	2.352	-40.019	1.631	3.150	22.111	15.660	10.739
1	001012	11:11:54,601.785.700	417	0.104	-0.158	1.944	4.998	12.014	0.157	5.649
1	001018	11:11:54,649.721.850	307	-3.553	31.657	1.806	3.485	8.758	8.577	17.681
1	001019	11:11:54,651.655.130	89	0.334	-0.070	1.203	3.693	11.561	0.067	1.528
1	001024	11:11:54,718.652.620	127	1.784	-0.965	0.938	2.580	9.637	0.472	1.077
1	001035	11:11:54,812.233.920	151	1.306	-5.445	1.458	2.874	3.927	3.310	8.164
1	001042	11:11:54,938.642.940	50	-5.444	-144.354	1.038	2.015	26.179	26.078	4.890
1	001044	11:11:54,952.568.460	42	0.238	-11.602	0.920	2.123	13.543	11.286	3.972
1	001048	11:11:54,997.491.300	140	-1.453	11.882	1.712	2.248	17.824	6.736	5.072
1	001051	11:11:55,049.034.410	46	3.348	-7.878	0.995	1.961	5.988	2.255	1.602
1	001053	11:11:55,072.252.510	61	0.366	12.720	0.918	2.103	19.897	11.947	2.017
1	001060	11:11:55,262.104.790	82	-2.464	-47.412	1.266	2.137	18.769	17.830	5.063
1	001061	11:11:55,265.970.130	1112	-1.052	3.856	2.215	13.068	10.449	2.657	20.444
1	001067	11:11:55,321.582.670	107	-0.635	28.447	1.362	3.816	33.594	24.016	7.029
1	001079	11:11:55,420.389.500	223	-0.022	-10.984	1.426	2.305	12.801	10.981	5.813
1	001080	11:11:55,425.916.810	168	0.075	-16.232	1.241	2.970	16.880	16.187	11.114
1	001081	11:11:55,426.995.170	948	-0.180	-6.769	2.799	5.262	17.607	6.662	21.209
1	001085	11:11:55,504.523.400	160	-0.063	17.371	1.283	3.167	19.790	17.336	10.809
1	001089	11:11:55,540.690.800	405	-4.526	53.808	1.917	3.470	13.851	11.609	18.204
1	001091	11:11:55,572.097.320	44	0.700	14.420	1.100	1.990	12.309	11.815	4.808
1	001092	11:11:55,620.758.240	218	-2.215	34.014	2.085	3.533	21.711	13.997	9.425
1	001095	11:11:55,647.168.130	68	4.886	-68.411	1.539	1.715	21.250	13.718	4.123
1	001097	11:11:55,675.432.620	153	3.539	-41.334	1.002	4.283	28.286	11.239	4.239
1	001100	11:11:55,715.112.140	76	-11.049	-21.137	1.027	2.930	3.603	1.905	3.719
1	001101	11:11:55,729.796.150	50	-0.718	25.733	1.514	1.996	20.992	20.908	4.118
1	001109	11:11:55,899.409.600	224	0.839	-21.389	1.194	7.439	16.844	16.385	51.686
1	001110	11:11:55,907.573.410	198	0.569	-14.747	1.651	2.886	12.988	12.815	9.123
1	001116	11:11:55,946.574.250	69	1.293	-9.862	0.988	1.936	6.479	6.034	3.084
1	001125	11:11:56,040.179.850	93	-0.547	-6.588	1.194	3.267	8.682	5.780	6.768
1	001172	11:11:56,673.355.710	74	-10.641	-108.642	1.205	2.472	28.554	10.165	2.050
1	001181	11:11:56,764.790.910	59	4.331	-19.173	1.270	1.862	7.934	4.313	2.232
1	001184	11:11:56,811.139.610	57	-2.160	-52.341	1.056	1.645	25.168	21.993	2.763
1	001187	11:11:56,837.247.980	118	4.003	-115.135	1.107	5.153	32.806	27.902	26.523
1	001198	11:11:56,944.033.250	253	-0.312	20.080	1.602	2.910	21.004	19.166	8.651
1	001201	11:11:56,965.664.750	82	1.215	20.656	0.893	1.949	20.198	13.128	2.151
1	001216	11:11:57,125.269.220	203	9.310	-71.324	1.327	6.162	18.752	7.617	8.284
1	001230	11:11:57,336.862.050	214	-0.492	-31.563	1.975	5.198	31.415	28.316	27.092
1	001238	11:11:57,439.109.040	80	1.686	9.589	1.540	2.311	5.577	4.891	5.354
1	001241	11:11:57,501.479.730	83	0.359	2.740	1.127	1.869	13.549	2.579	1.680
1	001258	11:11:57,659.473.150	251	0.325	-14.297	1.315	7.065	19.601	13.595	28.070
1	001259	11:11:57,665.773.250	44	-1.519	18.530	1.051	1.973	18.836	10.188	2.819
1	001263	11:11:57,692.203.670	197	-3.502	54.288	1.816	2.831	26.285	14.907	7.354
1	001264	11:11:57,703.838.230	195	0.688	-22.172	1.030	4.256	18.273	18.263	23.580
1	001270	11:11:57,757.400.470	74	0.446	8.013	0.759	2.020	27.803	7.317	1.167
1	001279	11:11:57,844.135.930	191	-2.504	16.328	1.263	5.687	19.424	6.055	5.732
1	001281	11:11:57,869.672.820	276	-3.587	1.450	1.161	2.467	14.608	0.389	2.360
1	001289	11:11:57,963.389.430	82	0.178	-1.094	1.242	1.900	2.436	1.077	2.743
1	001291	11:11:57,980.709.810	65	0.159	3.331	0.686	2.574	15.627	3.290	1.168
1	001304	11:11:58,137.051.360	217	1.199	-34.622	2.431	3.829	33.088	22.176	12.211
1	001307	11:11:58,156.137.060	167	0.378	-19.664	1.185	7.494	23.987	18.391	42.088
1	001323	11:11:58,409.865.570	126	0.023	15.305	0.957	3.827	16.497	15.301	15.194
1	001324	11:11:58,421.311.290	169	-6.564	184.887	1.142	3.580	32.089	27.846	12.260
1	001328	11:11:58,468.365.310	837	11.269	252.848	2.228	6.643	24.305	22.349	51.973
1	001331	11:11:58,525.932.280	104	0.877	-32.309	1.509	3.912	24.914	24.292	14.329
1	001345	11:11:58,719.957.350	68	-2.364	-7.475	1.043	1.845	4.101	2.912	2.277
1	001350	11:11:58,857.892.310	145	-0.700	-10.263	1.519	3.042	20.810	8.406	4.573
1	001365	11:11:58,974.399.060	47	1.199	-21.798	1.170	1.555	14.764	13.962	3.079
1	001366	11:11:58,975.067.420	242	0.025	-31.678	0.445	8.019	35.545	31.668	141.397
1	001371	11:11:59,053.537.500	379	1.044	-51.163	1.708	4.738	35.622	35.391	17.165
1	001372	11:11:59,055.872.830	128	0.730	8.838	0.990	2.022	29.005	7.139	1.947
1	001379	11:11:59,133.542.310	111	1.317	18.782	1.755	2.516	20.663	11.356	5.250
1	001398	11:11:59,429.106.410	433	1.230	-53.098	1.550	3.934	34.117	33.490	15.018
1	001410	11:11:59,654.857.930	311	-0.391	8.888	1.963	2.868	19.795	8.277	8.123
1	001412	11:11:59,680.329.150	93	-0.422	11.882	1.017	2.040	14.422	10.947	4.671
1	001417	11:11:59,721.988.230	452	0.214	31.196	1.509	4.835	31.335	30.508	34.383
1	001426	11:11:59,808.237.010	213	1.209	22.125	1.708	2.414	19.013	14.104	4.413
1	001427	11:11:59,810.857.460	72	1.271	31.543	1.222	2.739	20.773	19.499	7.500
1	001428	11:11:59,820.123.150	1721	-0.124	-9.313	2.552	5.612	12.388	9.243	34.149
1	001429	11:11:59,845.748.740	265	1.240	-18.297	2.054	2.893	33.525	11.487	8.006
1	001433	11:11:59,895.435.680	104	-2.512	77.605	1.607	2.374	28.706	28.699	6.206
1	001438	11:11:59,932.052.040	727	2.631	-37.300	2.427	4.713	18.107	13.254	28.166
1	001450	11:12:00,033.140.210	70	-0.860	26.773	1.253	1.817	28.580	20.301	2.914
1	001461	11:12:00,142.734.020	156	0.156	-4.946	1.470	3.150	4.984	4.887	11.175
1	001466	11:12:00,206.083.700	143	28.662	-560.988	1.541	2.976	23.048	19.560	10.140
1	001479	11:12:00,387.278.820	103	0.971	39.987	1.233	3.151	32.389	28.682	10.515
1	001483	11:12:00,396.599.450	120	3.690	31.842	1.337	2.449	20.255	8.329	3.235
1	001492	11:12:00,536.358.990	87	0.858	-13.959	1.696	2.241	17.176	10.594	3.750
1	001496	11:12:00,581.531.410	72	0.277	-22.629	0.732	2.074	23.626	21.810	4.655
1	001500	11:12:00,620.819.960	192	-7.033	-64.611	1.524	3.928	26.319	9.095	5.708
1	001503	11:12:00,749.650.530	859	1.654	27.481	1.913	5.824	21.016	14.220	25.403
1	001517	11:12:01,031.952.640	138	-3.184	65.550	0.945	3.066	26.880	19.642	6.774
1	001520	11:12:01,060.815.270	76	-0.159	-0.619	1.124	1.674	26.218	0.611	1.131
1	001541	11:12:01,400.324.930	203	-0.100	23.800	1.221	4.962	24.561	23.681	26.773
1	001554	11:12:01,536.692.440	465	0.661	15.948	1.715	4.521	16.981	13.302	19.207
1	001559	11:12:01,585.022.100	577	-0.171	32.668	1.736	4.209	32.550	32.203	27.691
1	001564	11:12:01,615.811.280	112	15.431	-254.941	1.228	3.609	20.177	16.487	11.226
1	001571	11:12:01,713.519.090	2052	0.848	12.520	2.439	7.317	15.850	9.551	36.883
1	001581	11:12:01,840.428.820	725	-1.378	-27.632	1.960	10.170	17.537	16.226	119.591
1	001587	11:12:01,891.117.760	73	-0.701	8.684	1.095	2.111	7.375	7.111	4.357
1	001590	11:12:01,899.453.310	50	1.002	-39.264	1.226	16.088	28.371	27.736	254.283
1	001596	11:12:02,036.357.160	518	14.349	251.944	1.807	5.862	20.195	17.516	36.506
1	001598	11:12:02,098.486.000	155	-0.614	8.627	1.570	2.175	24.298	7.351	3.514
1	001607	11:12:02,248.932.540	60	-0.183	-16.962	0.987	3.189	16.702	16.684	9.227
1	001613	11:12:02,301.980.900	70	-1.335	28.193	0.410	7.910	23.475	16.904	32.015
1	001619	11:12:02,335.578.870	739	-1.473	32.040	1.753	9.820	18.894	17.999	104.574
1	001636	11:12:02,471.578.390	207	-0.061	15.369	1.300	3.019	33.649	15.341	4.758
1	001646	11:12:02,588.544.140	58	-0.487	-14.484	0.862	2.078	16.315	13.020	3.592
1	001651	11:12:02,668.075.050	754	-5.024	6.936	1.955	3.076	28.238	1.354	6.830
1	001653	11:12:02,674.765.920	55	0.227	-5.326	1.059	2.134	28.178	5.194	1.231
1	001654	11:12:02,684.583.850	56	1.093	7.181	1.086	1.955	12.523	4.848	2.546
1	001656	11:12:02,732.095.850	324	0.453	11.640	1.375	7.248	20.103	10.604	16.992
1	001671	11:12:02,942.972.960	52	-1.126	27.320	1.139	1.935	18.252	18.142	5.014
1	001677	11:12:03,001.527.160	131	2.981	-32.048	1.133	3.434	11.550	10.194	12.922
1	001684	11:12:03,087.763.100	48	-0.102	3.318	1.060	1.779	4.312	3.300	2.379
1	001690	11:12:03,108.870.830	827	0.277	-30.408	2.689	3.461	33.506	29.305	12.064
1	001699	11:12:03,193.696.640	684	-0.167	-0.595	1.742	3.138	16.185	0.587	7.291
1	001701	11:12:03,199.303.290	384	-2.813	38.530	1.598	4.839	14.404	12.904	22.893
1	001707	11:12:03,271.861.900	59	0.536	-17.674	1.204	1.993	24.314	15.579	3.086
1	001708	11:12:03,275.182.100	750	0.015	-8.745	2.167	3.869	27.083	8.744	13.283
1	001709	11:12:03,276.181.570	63	-1.075	-3.693	0.784	2.336	17.098	2.516	1.238
1	001717	11:12:03,370.674.010	2030	0.810	-19.969	2.103	11.366	16.515	15.517	172.332
1	001718	11:12:03,374.048.790	55	-1.711	41.951	1.535	2.049	21.382	21.171	4.501
1	001719	11:12:03,374.808.010	42	-0.148	19.507	1.114	1.697	32.515	19.297	1.953
1	001721	11:12:03,402.116.920	2301	0.353	-29.501	0.136	0.833	31.604	27.815	7.766
1	001728	11:12:03,480.144.930	247	1.477	26.978	1.370	3.768	34.776	15.126	5.208
1	001729	11:12:03,481.536.010	224	8.433	51.545	1.394	4.138	10.331	6.070	9.664
1	001731	11:12:03,512.447.910	188	-0.651	-23.240	1.222	3.258	20.286	19.478	14.443
1	001739	11:12:03,610.143.520	1012	27.582	383.911	2.113	4.260	24.738	13.910	16.599
1	001741	11:12:03,629.128.320	153	-4.704	27.510	1.567	1.995	20.230	5.720	4.582
1	001742	11:12:03,634.912.600	79	-28.030	-312.444	1.197	2.915	12.533	11.140	6.629
1	001749	11:12:03,714.004.240	100	-0.884	15.588	1.499	2.804	15.107	11.681	7.295
1	001750	11:12:03,726.185.710	130	0.101	9.897	1.057	5.618	20.132	9.847	8.931
1	001756	11:12:03,783.437.930	157	0.156	-21.403	1.220	4.131	26.307	21.148	12.822
1	001761	11:12:03,824.194.480	111	0.808	-7.394	1.153	2.385	24.421	5.752	1.605
1	001762	11:12:03,832.066.150	77	0.091	7.394	1.056	2.212	11.541	7.363	3.663
